SMILES,endpoint
c1csc(-c2n[nH]c3c2Cc2ccccc2-3)c1,active
c1csc(-c2cc(Nc3ccccc3)[nH]n2)c1,active
Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,active
Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)[O-],active
c1ccc2c(c1)SCc1c(-c3ccncc3)n[nH]c1-2,active
c1ccc2c(c1)CCc1c(-c3ccncc3)n[nH]c1-2,active
O=C1c2ccccc2-c2n[nH]c(-c3ccccc3)c21,active
COc1ccc(-c2[nH]nc3c2C(=O)c2ccccc2-3)cc1,active
Cc1cc(C)c(C=C2C(=O)NN=C2c2cnccn2)[nH]1,active
c1nn2cc(-c3ccncc3)cnc2c1-c1ccncc1,active
Cc1ccc(Nc2c(C#N)cnc3cnc(F)cc32)cc1O,active
COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,active
CCOc1cc2c(cc1OC)ncc(C#N)c2Nc1ccc(C)c(O)c1,active
COCCOc1cc2nncc(Nc3ccc(Cl)cc3F)c2cc1OC,active
COCCOc1cc2nccc(Nc3ccc(Cl)cc3F)c2cc1OC,active
COCCOc1cc2nccc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,active
COCCOc1cc2nncc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,active
COCCOc1cc2ncnc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,active
CC(C)(C)CNC(=O)c1ccccc1NCc1ccncc1,active
COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,active
Cc1ccc2[nH]c3c(c2c1)c1c(c2cnccc32)C(=O)NC1=O,active
Cc1ccc(Nc2c3oc4ccccc4c3ncc2C#N)cc1O,active
COc1ccc(O)c(-c2nc(-c3cccnc3)c(NC(C)=O)o2)c1,active
O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c32)-c2ccccc2C1,active
Clc1ccc(Nc2nnc(OCc3ccncc3)c3sccc32)cc1,active
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ncccc23)cc1,active
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc32)cc1,active
Nc1ccc2c(Cc3ccncc3)nnc(Nc3ccc(Cl)cc3)c2c1,active
Cc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc32)cc1O,active
NC(=O)c1cc(Cc2cnc(Nc3ccc(Cl)cc3)c3ccccc23)ccn1,active
